"name,",tested,positive,deaths
AK,9895,319,9
AL,45712,4903,160
AR,24851,1781,39
AZ,52990,4929,184
CA,280900,28963,1072
CO,44606,9433,411
CT,59759,17962,1127
DC,13699,2793,96
DE,14794,2538,67
FL,262495,26314,774
GA,79933,18301,687
HI,24028,580,10
IA,24550,2902,75
ID,17445,1672,45
IL,143318,30357,1290
IN,61142,11210,562
KS,18129,1849,92
KY,32319,2960,148
LA,141504,23928,1296
MA,162241,38077,1706
MD,67891,12830,486
ME,14943,867,34
MI,113800,31424,2391
MN,45716,2356,134
MO,55873,5667,176
MS,50272,4274,159
MT,10898,433,10
NC,78772,6493,172
ND,13630,585,10
NE,15756,1474,28
NH,14118,1392,41
NJ,170688,85301,4202
NM,37042,1845,51
NV,31598,3728,157
NY,617555,242786,13869
OH,86989,11292,471
OK,35561,2599,140
OR,39038,1910,74
PA,158854,32284,1112
PR,11332,1213,62
RI,34699,4706,150
SC,40480,4377,120
SD,12062,1635,7
TN,97098,7070,148
TX,182710,18923,477
UT,63555,3069,27
VA,54733,8537,277
VT,12116,812,37
WA,138654,11802,634
WI,49669,4346,220
WV,21675,890,20
WY,7385,313,2
