date,time,seconds_since_Epoch,tested,positive,deaths
2020-03-08,07:00:00,1583650800,2259,371,19
2020-03-08,20:00:00,1583697600,2421,415,19
2020-03-09,00:00:00,1583712000,3779,494,21
2020-03-09,05:00:00,1583730000,3830,497,21
2020-03-09,15:00:00,1583766000,3897,510,21
2020-03-09,21:00:00,1583787600,4228,607,24
2020-03-10,01:00:00,1583802000,4338,630,25
2020-03-10,06:00:00,1583820000,4388,666,25
2020-03-10,15:00:00,1583852400,4532,675,25
2020-03-10,22:00:00,1583877600,6085,902,27
2020-03-11,03:00:00,1583895600,6152,941,28
2020-03-11,04:00:00,1583899200,6184,954,28
2020-03-11,06:00:00,1583906400,6738,954,28
2020-03-11,14:00:00,1583935200,6765,962,28
2020-03-11,15:00:00,1583938800,6828,970,28
2020-03-11,18:00:00,1583949600,7410,1005,28
2020-03-12,02:00:00,1583978400,8779,1220,35
2020-03-12,14:00:00,1584021600,8847,1232,35
2020-03-12,16:00:00,1584028800,9023,1255,35
2020-03-12,17:00:00,1584032400,9046,1264,35
2020-03-12,23:00:00,1584054000,10095,1493,36
2020-03-13,01:00:00,1584061200,11608,1597,39
2020-03-13,05:00:00,1584075600,11634,1623,40
2020-03-13,14:00:00,1584108000,11660,1640,40
2020-03-13,22:00:00,1584136800,15452,2106,47
2020-03-14,01:00:00,1584147600,15699,2132,48
2020-03-14,04:00:00,1584158400,15869,2184,49
2020-03-14,16:00:00,1584201600,16135,2224,49
2020-03-14,17:00:00,1584205200,16652,2350,49
2020-03-14,19:00:00,1584212400,17280,2440,49
2020-03-14,22:00:00,1584223200,19698,2598,54
2020-03-15,03:00:00,1584241200,20107,2718,56
2020-03-15,06:00:00,1584252000,20179,2790,56
2020-03-15,15:00:00,1584284400,21014,2858,57
2020-03-15,18:00:00,1584295200,21380,2901,57
2020-03-15,21:00:00,1584306000,23089,3267,61
2020-03-16,04:00:00,1584331200,26170,3490,63
2020-03-16,22:00:00,1584396000,31659,4047,69
2020-03-17,02:00:00,1584410400,34788,4275,78
2020-03-17,05:00:00,1584421200,48747,4363,79
2020-03-17,20:00:00,1584475200,53957,5253,89
2020-03-18,02:00:00,1584496800,58427,5597,96
2020-03-18,07:00:00,1584514800,58538,5612,96
2020-03-18,20:00:00,1584561600,68460,7534,104
2020-03-19,06:00:00,1584597600,74839,8021,125
2020-03-19,15:00:00,1584630000,79286,10341,127
2020-03-19,18:00:00,1584640800,82230,10751,145
2020-03-19,23:00:00,1584658800,94114,11826,161
2020-03-20,05:00:00,1584680400,94976,11885,161
2020-03-20,18:00:00,1584727200,103363,13358,172
2020-03-20,20:00:00,1584734400,109721,16506,172
2020-03-21,00:00:00,1584748800,122291,17323,214
2020-03-21,15:00:00,1584802800,129511,17849,236
2020-03-21,18:00:00,1584813600,134659,18750,243
2020-03-21,20:00:00,1584820800,143149,22983,251
2020-03-21,23:00:00,1584831600,151461,23708,277
2020-03-22,00:00:00,1584835200,155825,24002,292
2020-03-22,15:00:00,1584889200,159638,24509,311
2020-03-22,16:00:00,1584892800,163088,24822,317
2020-03-22,20:00:00,1584907200,176686,31626,334
2020-03-22,23:00:00,1584918000,184352,32449,341
2020-03-23,01:00:00,1584925200,202236,32449,344
2020-03-23,16:00:00,1584979200,213333,34273,395
2020-03-23,18:00:00,1584986400,222014,40694,421
2020-03-23,19:00:00,1584990000,226235,41278,432
2020-03-23,21:00:00,1584997200,227948,41857,437
2020-03-23,23:00:00,1585004400,234929,42531,459
2020-03-24,02:00:00,1585015200,236105,42692,486
2020-03-24,04:00:00,1585022400,246809,42706,495
2020-03-24,15:00:00,1585062000,251220,43082,501
2020-03-24,16:00:00,1585065600,255112,43847,514
2020-03-24,19:00:00,1585076400,278466,50635,562
2020-03-24,20:00:00,1585080000,287577,51504,573
2020-03-24,21:00:00,1585083600,287778,51590,575
2020-03-24,23:00:00,1585090800,294661,52698,665
2020-03-25,01:00:00,1585098000,296886,53031,679
2020-03-25,02:00:00,1585101600,297729,53052,683
2020-03-25,16:00:00,1585152000,302023,53756,692
2020-03-25,17:00:00,1585155600,323032,60293,730
2020-03-25,20:00:00,1585166400,340184,63051,774
