February 2018 - January 2019 Contiguous U.S. Divisional Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
0101,"Alabama CD 1. Northern Valley",61.8,115,59.9,1.9
0102,"Alabama CD 2. Appalachian Mountain",62.3,118,60.4,1.9
0103,"Alabama CD 3. Upper Plains",64.0,115,62.3,1.7
0104,"Alabama CD 4. Eastern Valley",63.4,118,61.3,2.1
0105,"Alabama CD 5. Piedmont Plateau",63.7,119,61.8,1.9
0106,"Alabama CD 6. Prairie",65.9,117,64.1,1.8
0107,"Alabama CD 7. Coastal Plain",67.0,117,65.2,1.8
0108,"Alabama CD 8. Gulf",68.6,121,66.6,2.0
0201,"Arizona CD 1. Northwest",64.0,121,61.4,2.6
0202,"Arizona CD 2. Northeast",53.4,120,51,2.4
0203,"Arizona CD 3. North Central",60.9,122,58.2,2.7
0204,"Arizona CD 4. East Central",61.5,123,58.5,3.0
0205,"Arizona CD 5. Southwest",73.1,120,70.6,2.5
0206,"Arizona CD 6. South Central",71.1,119,68.6,2.5
0207,"Arizona CD 7. Southeast",64.7,122,62.3,2.4
0301,"Arkansas CD 1. Northwest",57.8,96,56.9,0.9
0302,"Arkansas CD 2. North Central",58.6,98,57.4,1.2
0303,"Arkansas CD 3. Northeast",60.6,105,59.3,1.3
0304,"Arkansas CD 4. West Central",60.7,98,59.6,1.1
0305,"Arkansas CD 5. Central",62.1,99,61.1,1.0
0306,"Arkansas CD 6. East Central",62.7,103,61.5,1.2
0307,"Arkansas CD 7. Southwest",63.2,107,62,1.2
0308,"Arkansas CD 8. South Central",64.0,106,62.8,1.2
0309,"Arkansas CD 9. Southeast",64.1,109,62.8,1.3
0401,"California CD 1. North Coast Drainage",53.8,120,51.8,2.0
0402,"California CD 2. Sacramento Drainage",55.9,119,53.9,2.0
0403,"California CD 3. Northeast Interior Basins",46.7,117,44.8,1.9
0404,"California CD 4. Central Coast Drainage",59.8,119,57.2,2.6
0405,"California CD 5. San Joaquin Drainage",59.1,121,56.6,2.5
0406,"California CD 6. South Coast Drainage",62.1,120,58.9,3.2
0407,"California CD 7. Southeast Desert Basins",66.9,122,64,2.9
0501,"Colorado CD 1. Arkansas Drainage",50.9,115,49,1.9
